x,y,z
7.321659,-0.069729,-1.613293
7.287228,-0.055364,-1.612852
7.347234,-0.053377,-1.603689
7.345788,-0.048324,-1.602035
7.347005,-0.058609,-1.605644
7.359912,-0.095643,-1.617442
7.326706,-0.071585,-1.613266
7.332090,-0.071838,-1.612602
7.337281,-0.070462,-1.611367
7.341772,-0.067592,-1.609681
7.345122,-0.063507,-1.607709
7.313014,-0.057014,-1.609835
7.314460,-0.062067,-1.611489
7.315126,-0.046885,-1.605815
7.313244,-0.051783,-1.607880
7.318882,-0.022276,-1.596242
7.328157,-0.038553,-1.600922
7.322967,-0.039929,-1.602157
7.333541,-0.038806,-1.600258
7.318477,-0.042800,-1.603843
7.290871,-0.165461,-1.260688
7.295090,-0.168740,-1.261300
7.334488,-0.182167,-1.260698
7.269718,-0.191247,-1.273138
7.239508,-0.180162,-1.273310
7.273939,-0.194527,-1.273751
7.298068,-0.173122,-1.262492
7.299514,-0.178175,-1.264146
7.299285,-0.183407,-1.266102
7.312192,-0.220441,-1.277899
7.284370,-0.196636,-1.273060
7.278986,-0.196383,-1.273724
7.294052,-0.192390,-1.270139
7.289561,-0.195260,-1.271825
7.297402,-0.188305,-1.268167
7.265294,-0.181812,-1.270293
7.266740,-0.186865,-1.271947
7.267406,-0.171682,-1.266273
7.265524,-0.176581,-1.268337
7.271163,-0.147074,-1.256700
7.275247,-0.164727,-1.262614
7.280437,-0.163351,-1.261379
7.285821,-0.163604,-1.260715
7.270757,-0.167598,-1.264300
7.336539,-0.015907,-1.865856
7.332434,-0.015964,-1.865102
7.329748,-0.010538,-1.873694
7.333531,-0.009832,-1.875473
7.336514,-0.020778,-1.854984
7.332411,-0.020315,-1.855391
7.324615,-0.004570,-1.880322
7.327787,-0.003150,-1.882895
7.317538,0.001359,-1.884339
7.319863,0.003487,-1.887391
7.309209,0.006666,-1.885351
7.310539,0.009427,-1.888524
7.300444,0.010832,-1.883259
7.300727,0.014091,-1.886183
7.292101,0.013449,-1.878269
7.291387,0.017021,-1.880597
7.284997,0.014261,-1.870868
7.283435,0.017930,-1.872310
7.279826,0.013189,-1.861780
7.277645,0.016731,-1.862137
7.277096,0.010338,-1.851898
7.274589,0.013539,-1.851074
7.277072,0.005987,-1.842185
7.274562,0.008668,-1.840200
7.279758,0.000561,-1.833593
7.277570,0.002593,-1.830583
7.284891,-0.005408,-1.826965
7.283315,-0.004088,-1.823163
7.291967,-0.011336,-1.822948
7.291238,-0.010724,-1.818666
7.300296,-0.016642,-1.821936
7.300562,-0.016666,-1.817532
7.309062,-0.020808,-1.824028
7.310374,-0.021329,-1.819875
7.317405,-0.023426,-1.829018
7.319715,-0.024260,-1.825461
7.324509,-0.024239,-1.836419
7.327667,-0.025169,-1.833746
7.329680,-0.023167,-1.845507
7.333457,-0.023970,-1.843919
7.355814,-0.008382,-1.865327
7.336539,-0.015907,-1.865856
7.333531,-0.009832,-1.875473
7.351632,0.000064,-1.878698
7.327787,-0.003150,-1.882895
7.343644,0.009354,-1.889016
7.319863,0.003487,-1.887391
7.332628,0.018581,-1.895267
7.310539,0.009427,-1.888524
7.319664,0.026841,-1.896843
7.300727,0.014091,-1.886183
7.306023,0.033325,-1.893587
7.291387,0.017021,-1.880597
7.293036,0.037399,-1.885820
7.283435,0.017930,-1.872310
7.281978,0.038664,-1.874300
7.277645,0.016731,-1.862137
7.273931,0.036996,-1.860156
7.274589,0.013539,-1.851074
7.269680,0.032558,-1.844773
7.274562,0.008668,-1.840200
7.269644,0.025785,-1.829655
7.277570,0.002593,-1.830583
7.273824,0.017340,-1.816283
7.283315,-0.004088,-1.823163
7.281814,0.008050,-1.805967
7.291238,-0.010724,-1.818666
7.292830,-0.001178,-1.799714
7.300562,-0.016666,-1.817532
7.305792,-0.009437,-1.798140
7.310374,-0.021329,-1.819875
7.319435,-0.015922,-1.801394
7.319715,-0.024260,-1.825461
7.332421,-0.019995,-1.809163
7.327667,-0.025169,-1.833746
7.343478,-0.021260,-1.820681
7.333457,-0.023970,-1.843919
7.351527,-0.019592,-1.834825
7.336514,-0.020778,-1.854984
7.355776,-0.015153,-1.850210
7.351632,0.000064,-1.878698
7.352615,0.001753,-1.877939
7.356798,-0.006693,-1.864568
7.355814,-0.008382,-1.865327
7.343644,0.009354,-1.889016
7.344627,0.011043,-1.888257
7.332628,0.018581,-1.895267
7.333612,0.020270,-1.894508
7.319664,0.026841,-1.896843
7.320648,0.028530,-1.896084
7.306023,0.033325,-1.893587
7.307006,0.035014,-1.892828
7.293036,0.037399,-1.885820
7.294020,0.039088,-1.885061
7.281978,0.038664,-1.874300
7.282962,0.040353,-1.873541
7.273931,0.036996,-1.860156
7.274914,0.038684,-1.859397
7.269680,0.032558,-1.844773
7.270664,0.034247,-1.844014
7.269644,0.025785,-1.829655
7.270627,0.027474,-1.828896
7.273824,0.017340,-1.816283
7.274808,0.019029,-1.815524
7.281814,0.008050,-1.805967
7.282797,0.009738,-1.805209
7.292830,-0.001178,-1.799714
7.293813,0.000511,-1.798955
7.305792,-0.009437,-1.798140
7.306776,-0.007748,-1.797381
7.319435,-0.015922,-1.801394
7.320419,-0.014233,-1.800635
7.332421,-0.019995,-1.809163
7.333405,-0.018307,-1.808404
7.343478,-0.021260,-1.820681
7.344461,-0.019571,-1.819922
7.351527,-0.019592,-1.834825
7.352511,-0.017903,-1.834066
7.355776,-0.015153,-1.850210
7.356760,-0.013465,-1.849451
7.358514,-0.007373,-1.865278
7.361395,-0.006511,-1.865345
7.361356,-0.013857,-1.848949
7.358475,-0.014415,-1.849559
7.354166,0.001408,-1.879182
7.356860,0.002650,-1.879851
7.345858,0.011069,-1.889910
7.348194,0.012727,-1.891041
7.334404,0.020664,-1.896412
7.336245,0.022736,-1.897823
7.320924,0.029252,-1.898049
7.322184,0.031695,-1.899532
7.306739,0.035995,-1.894665
7.307386,0.038728,-1.896001
7.293236,0.040230,-1.886587
7.293301,0.043147,-1.887575
7.281737,0.041546,-1.874609
7.281307,0.044518,-1.875080
7.273368,0.039811,-1.859902
7.272576,0.042709,-1.859737
7.268949,0.035197,-1.843906
7.267967,0.037896,-1.843052
7.268911,0.028154,-1.828186
7.267927,0.030549,-1.826654
7.273259,0.019373,-1.814282
7.272463,0.021388,-1.812149
7.281567,0.009712,-1.803553
7.281128,0.011311,-1.800959
7.293021,0.000117,-1.797052
7.293076,0.001303,-1.794177
7.306499,-0.008471,-1.795415
7.307137,-0.007656,-1.792468
7.320686,-0.015214,-1.798799
7.321935,-0.014690,-1.795999
